contract_id,bp_type_id,me,te,runs_per_copy,bpc_copy_count,total_bpc_runs,contract_price,price_per_run,start_location_id,contract_region_id_raw,contract_system_id_raw,date_expired,title,bpc_benchmark_type_id,bpc_benchmark_me,bpc_benchmark_te,bpc_market_sample_count,bpc_market_avg_per_run,bpc_market_median_per_run,bpc_market_p25_per_run,bpc_market_p75_per_run,bpc_market_basis,bpc_current_cost_per_run,bpc_discount_vs_avg,bpc_discount_vs_median,bpc_contract_market_value_est,bpc_intrinsic_value_surplus,station_name,system_id,system_name,region_id,security,secure_jumps_to_jita,shortest_jumps_to_jita,risk_tier,risk_rank,is_player_structure,friendly_sov,friendly_region,sov_alliance_id,friendly_alliance_id,friendly_alliance_name,friendly_alliance_ticker,bpc_value_score,blueprint_name,blueprints,date_issued,contract_age_hours,mail_freshness_score,bpc_intrinsic_signal,mail_eligible,mail_filter_reason
235664007,17925,0.0,0.0,1.0,1,1,21000000.0,21000000.0,60008494,10000043,0,2026-09-17T05:30:37Z,,17925,0.0,0.0,7,38500000.0,37000000.0,33000000.0,43250000.0,same_type_ME0_TE0,21000000.0,-0.4545454545454546,-0.4324324324324324,38500000.0,17500000.0,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,55.1,Succubus Blueprint,"1x Succubus Blueprint [1 total runs, ME0/TE0]",2026-09-03T05:30:37+00:00,6.937359555277777,40.0,False,False,BELOW_STRICT_MAIL_MARGIN
235265050,22469,1.0,8.0,5.0,1,5,20000000.0,4000000.0,60004588,10000030,0,2026-09-19T12:17:32Z,,22469,1.0,8.0,8,6881249.9375,5249999.875,3900000.0,9250000.0,same_type_all_ME_TE,4000000.0,-0.4187102581172593,-0.2380952199546481,34406249.6875,14406249.6875,Rens VI - Moon 8 - Brutor Tribe Treasury,30002510,Rens,10000030,0.9,25,15,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,55.0,Claymore Blueprint,"1x Claymore Blueprint [5 total runs, ME1/TE8]",2026-08-22T12:17:32+00:00,288.1554151108333,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235611561,22469,1.0,8.0,5.0,1,5,20000000.0,4000000.0,60006496,10000028,0,2026-09-29T16:06:50Z,,22469,1.0,8.0,8,6881249.9375,5249999.875,3900000.0,9250000.0,same_type_all_ME_TE,4000000.0,-0.4187102581172593,-0.2380952199546481,34406249.6875,14406249.6875,Aeddin II - Imperial Armaments Warehouse,30002383,Aeddin,10000028,0.6,24,14,A2 Jita近郊高安,1,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,55.0,Claymore Blueprint,"1x Claymore Blueprint [5 total runs, ME1/TE8]",2026-09-01T16:06:50+00:00,44.333748444166666,0.0,False,False,BELOW_STRICT_MAIL_MARGIN
235528584,33547,0.0,0.0,1.0,1,1,18000000.0,18000000.0,1053970513596,10000003,0,2026-09-27T08:50:14Z,,33547,0.0,0.0,16,34373124.9375,36950000.0,28624999.25,39497500.0,same_type_ME0_TE0,18000000.0,-0.4763350718699839,-0.5128552097428958,34373124.9375,16373124.9375,玩家建筑 1053970513596,30000240,4-HWWF,10000003,-0.5,-1,16,D 非友军00高风险,4,True,False,False,99003581,99013541,Fraternity Auxiliary,F.A.X,54.1,High-grade Ascendancy Delta Blueprint,"1x High-grade Ascendancy Delta Blueprint [1 total runs, ME0/TE0]",2026-08-30T08:50:14+00:00,99.61041511083334,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235416055,24695,10.0,20.0,10.0,6,60,30000000.0,500000.0,60008494,10000043,0,2026-09-23T21:45:23Z,BS Maelstrom 10/20 X60 Runs,24695,10.0,20.0,36,830369.8111111112,999999.0,500000.0,999999.0,same_type_ME10_TE20,500000.0,-0.3978586488700089,-0.4999994999995,49822188.66666667,19822188.66666667,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,52.8,Maelstrom Blueprint,"6x Maelstrom Blueprint [60 total runs, ME10/TE20]",2026-08-26T21:45:23+00:00,182.69124844416666,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235416070,24695,10.0,20.0,10.0,6,60,30000000.0,500000.0,60008494,10000043,0,2026-09-23T21:46:08Z,BS Maelstrom 10/20 X60 Runs,24695,10.0,20.0,36,830369.8111111112,999999.0,500000.0,999999.0,same_type_ME10_TE20,500000.0,-0.3978586488700089,-0.4999994999995,49822188.66666667,19822188.66666667,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,52.8,Maelstrom Blueprint,"6x Maelstrom Blueprint [60 total runs, ME10/TE20]",2026-08-26T21:46:08+00:00,182.67874844416664,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235655827,20186,8.0,14.0,1.0,1,1,15000000.0,15000000.0,1053970513596,10000003,0,2026-09-30T21:59:43Z,,20186,8.0,14.0,145,28055294.66896552,28890000.0,14000000.0,38000000.0,same_type_all_ME_TE,15000000.0,-0.4653415629031746,-0.4807892004153686,28055294.66896552,13055294.668965518,玩家建筑 1053970513596,30000240,4-HWWF,10000003,-0.5,-1,16,D 非友军00高风险,4,True,False,False,99003581,99013541,Fraternity Auxiliary,F.A.X,52.5,Charon Blueprint,"1x Charon Blueprint [1 total runs, ME8/TE14]",2026-09-02T21:59:43+00:00,14.452359555277779,20.0,False,False,BELOW_STRICT_MAIL_MARGIN
235171505,41582,9.0,14.0,1.0,1,1,12000000.0,12000000.0,1049588174021,10000009,0,2026-09-16T11:19:33Z,,41582,9.0,14.0,7,23085714.285714287,24900000.0,19900000.0,27450000.0,same_type_ME9_TE14,12000000.0,-0.4801980198019802,-0.5180722891566265,23085714.285714287,11085714.285714287,玩家建筑 1049588174021,30000772,C-J6MT,10000009,-0.3,-1,26,D 非友军00高风险,4,True,False,False,1354830081,99013541,Fraternity Auxiliary,F.A.X,50.7,Apostle Blueprint,"1x Apostle Blueprint [1 total runs, ME9/TE14]",2026-08-19T11:19:33+00:00,361.1218039997222,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235171506,41582,9.0,14.0,1.0,1,1,12000000.0,12000000.0,1049588174021,10000009,0,2026-09-16T11:19:38Z,,41582,9.0,14.0,7,23085714.285714287,24900000.0,19900000.0,27450000.0,same_type_ME9_TE14,12000000.0,-0.4801980198019802,-0.5180722891566265,23085714.285714287,11085714.285714287,玩家建筑 1049588174021,30000772,C-J6MT,10000009,-0.3,-1,26,D 非友军00高风险,4,True,False,False,1354830081,99013541,Fraternity Auxiliary,F.A.X,50.7,Apostle Blueprint,"1x Apostle Blueprint [1 total runs, ME9/TE14]",2026-08-19T11:19:38+00:00,361.12041511083333,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235545375,28353,10.0,14.0,1.0,1,1,15000000.0,15000000.0,60008494,10000043,0,2026-09-27T16:52:07Z,Me 10,28353,10.0,14.0,6,26250000.0,28500000.0,28500000.0,28500000.0,same_type_ME10_TE14,15000000.0,-0.4285714285714286,-0.4736842105263158,26250000.0,11250000.0,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,50.5,Rorqual Blueprint,"1x Rorqual Blueprint [1 total runs, ME10/TE14]",2026-08-30T16:52:07+00:00,91.57902622194445,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
