engine_version,contract_id,title,price,best_route,execution_status,score_grade,opportunity_score,best_net_profit,best_roi,stress_net_profit,packaged_volume_m3,profit_per_m3,excluded_rig_types,excluded_rig_qty,highsec_restricted_ship,live_revalidated_at,top_items
Opportunity Engine V2,236291979,jita -15%,1823864048.0,Jita 4-4 live buy,SAFE,B,62.3,180411475.5999999,0.09891717301946615,164065820.51250005,627190.0,287.6504338398251,0,0,False,2026-09-22T10:29:25.234519+00:00,Nitrogen Fuel Block x116262 @ 16.5K; Oxygen Fuel Block x9176 @ 17.5K
Opportunity Engine V2,236291931,jita -15%,1246719097.0,Jita 4-4 live buy,SAFE,B,57.4,90487612.25,0.07258059371011624,86967466.875,400200.0,226.1059776361819,0,0,False,2026-09-22T10:29:25.234519+00:00,Compressed Dark Glitter x3201 @ 372.0K; Compressed Glare Crust x801 @ 241.0K
