type_id,item_name,execution_status,quantity,four_h_best_sell,four_h_worst_matched_sell,jita_best_buy,jita_worst_matched_buy,source_cost,jita_buy_gross,sales_tax,haul_cost,net_profit,net_roi,stress_net_profit,snapshot_change_pct,live_revalidated_at,unit_volume_m3,total_volume_m3,source_slippage_pct,jita_slippage_pct,engine_version,score_grade,opportunity_score,profit_per_m3,liquidity_score,liquidity_label,estimated_fill_time_days,historical_fill_rate_30d,transport_trips,estimated_execution_hours,estimated_isk_per_hour
16272,Heavy Water,SAFE,18393001,54.89,57.96,98.59,70.0,1012032233.5100001,1611817819.94,54398851.422974996,0.0,545386735.0070249,0.538902533880247,345667788.507025,0.0,2026-09-25T10:57:21.990815+00:00,0.4,7357200.4,0.05593004190198579,0.2899888426818136,Opportunity Engine V2,B,69.5,74.12965603152863,60.0,high,1.5722386722113901,33.3,123,16.4,33255288.719940543
16275,Strontium Clathrates,SAFE,1001784,3795.0,3997.0,4856.0,4600.0,3892383608.0,4782082754.0,161395292.9475,0.0,728303853.0524998,0.1871099887368809,705509805.9324999,0.00010972824987217211,2026-09-25T10:57:21.990815+00:00,3.0,3005352.0,0.053227931488801054,0.05271828665568369,Opportunity Engine V2,B,64.7,242.3356242638133,46.5,high,1.3937068359434917,3.3,51,6.8,107103507.8018382
24509,Mjolnir Fury Heavy Missile,SAFE,278265,307.9,309.4,400.9,400.8,85717761.1,111531223.69999999,3764178.799874999,0.0,22049283.800124988,0.2572312145950927,22046760.245000005,-1.3360528737610952e-16,2026-09-25T10:57:21.990815+00:00,0.03,8347.949999999999,0.004871711594673596,0.00024943876278365156,Opportunity Engine V2,B,64.5,2641.281248704771,88.3,high,0.7688807026734884,76.7,1,0.13333333333333333,165369628.5009374
44,Enriched Uranium,SAFE,51755,11900.0,12000.0,13860.0,13860.0,616387500.0,717324300.0,24209695.124999996,0.0,76727104.875,0.12447868406643547,74345037.73749995,0.0,2026-09-25T10:57:21.990815+00:00,0.75,38816.25,0.008403361344537815,0.0,Opportunity Engine V2,B,61.6,1976.674843010337,100.0,high,0.3929475201902366,100.0,1,0.13333333333333333,575453286.5625
34,Tritanium,SAFE,531075402,3.12,3.15,3.76,3.59,1672318106.1799998,1948039653.23,65746338.29651249,0.0,209975208.7534876,0.12555937053933142,192778042.31701255,0.011869388176478958,2026-09-25T10:57:21.990815+00:00,0.01,5310754.0200000005,0.009615384615384552,0.04521276595744679,Opportunity Engine V2,B,58.2,39.537739455213476,100.0,high,0.2524550275518141,100.0,89,11.866666666666667,17694540.063496143
28215,Bouncer II,SAFE,135,999800.0,1099000.0,1280000.0,1280000.0,142088600.0,172800000.0,5831999.999999999,0.0,24879400.0,0.17509779109654117,24582761.25,0.0,2026-09-25T10:57:21.990815+00:00,25.0,3375.0,0.09921984396879376,0.0,Opportunity Engine V2,B,57.2,7371.674074074074,73.3,high,0.9407665505226481,46.7,1,0.13333333333333333,186595500.0
24427,Drone Link Augmentor II,CHANGED,178,1049000.0,1098000.0,1341000.0,1300000.0,190613000.0,234525000.0,7915218.749999999,0.0,35996781.25,0.18884746187300971,31053250.0,0.1675345493647696,2026-09-25T10:57:21.990815+00:00,25.0,4450.0,0.04671115347950429,0.030574198359433258,Opportunity Engine V2,C,43.6,8089.164325842697,85.0,high,0.5327746183777313,70.0,1,0.13333333333333333,269975859.375
