engine_version,channel,execution_status,score_grade,opportunity_score,type_id,item_name,quantity,jita_best_sell,jita_worst_matched_sell,four_h_best_buy,four_h_worst_matched_buy,source_cost,destination_gross,sales_tax,haul_cost,net_profit,net_roi,stress_net_profit,unit_volume_m3,total_volume_m3,profit_per_m3,live_revalidated_at
Opportunity Engine V3,JITA_TO_4H,SAFE,B,59.4,26912,Small Remote Armor Repairer II,110,1458000.0,1458000.0,2001000.0,2000000.0,160380000.0,220075000.0,7427531.249999999,10275000.0,41992468.75,0.2460664425302511,6520000.0,5.0,550.0,76349.94318181818,2026-09-18T13:39:30.267493+00:00
Opportunity Engine V3,JITA_TO_4H,SAFE,B,55.6,12259,Medium Energy Nosferatu II,62,3730000.0,3732000.0,4559000.0,4558000.0,231286000.0,282603000.0,9537851.249999998,10155000.0,31624148.75,0.1309808555713404,26929712.5,5.0,310.0,102013.38306451614,2026-09-18T13:39:30.267493+00:00
Opportunity Engine V3,JITA_TO_4H,CHANGED,C,48.9,2679,Scourge Rage Heavy Assault Missile,9000000,108.5,111.7,150.0,150.0,988928639.0000001,1350000000.0,45562499.99999999,77500000.0,238008860.99999988,0.2231831107078885,-988928639.0000001,0.015,135000.0,1763.0285999999992,2026-09-18T13:39:30.267493+00:00
