deal_class,valuation_basis,risk_tier,risk_rank,deal_score,contract_id,contract_price,item_type_count,item_total_units,items,top_value_items,jita_buy_gross,sales_tax_if_instant,instant_liquidation_net_value,haul_reserve,instant_net_profit,instant_net_roi,stress_jita_buy_gross,stress_net_profit,buy_unit_coverage,buy_filled_units,total_units,top1_value_share,top3_value_share,skin_value_share,total_m3,jita_replacement_value,list_broker_fee,list_sales_tax,list_relist_reserve,list_net_profit_est,list_net_roi_est,priced_buy_types,fully_buy_types,priced_sell_types,value_coverage,chosen_estimated_value,chosen_value_gap,chosen_discount,chosen_roi,jita_sell_gross_raw,liquidity_adjusted_market_gross,market_net_value,contract_title,date_expired,friendly_alliance_id,friendly_alliance_name,friendly_alliance_ticker,eve_contract_url,start_location_id,station_name,system_id,system_name,region_id,security,secure_jumps_to_jita,shortest_jumps_to_jita,is_player_structure,friendly_sov,friendly_region,sov_alliance_id
A 即时买单套利,JITA_BUY_DEPTH_ONLY,A2 Jita近郊高安,1,68.4,235488250,295000000.0,3,4,Raven x1 | Large Warhead Rigor Catalyst II x2 | Large Warhead Flare Catalyst II x1,Raven x1≈156.2M | Large Warhead Rigor Catalyst II x2≈136.4M | Large Warhead Flare Catalyst II x1≈68.0M,360580000.0,12169574.999999998,348410425.0,0.0,53410425.0,0.1810522881355932,354790000.0,47815837.5,1.0,4,4,0.43319097010372176,1.0,0.0,50060.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,1.0,348410425.0,53410425.0,0.15329743649318187,0.1810522881355932,0.0,0.0,0.0,,2026-09-26T05:54:01Z,99013541,Fraternity Auxiliary,F.A.X,https://eve-contract-opener.99617224.workers.dev/c/235488250,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0
A 即时买单套利,JITA_BUY_DEPTH_ONLY,A2 Jita近郊高安,1,75.7,235559436,199000000.0,3,4,Dominix x1 | Large Capacitor Control Circuit II x2 | Large Capacitor Control Circuit I x1,Dominix x1≈145.8M | Large Capacitor Control Circuit II x2≈109.1M | Large Capacitor Control Circuit I x1≈3.9M,258756000.0,8733014.999999998,250022985.0,0.0,51022985.0,0.2563969095477387,258368000.0,50648080.0,1.0,4,4,0.5634651950099708,1.0,0.0,50060.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0,1.0,250022985.0,51022985.0,0.20407317751205953,0.2563969095477387,0.0,0.0,0.0,,2026-09-28T02:37:32Z,99013541,Fraternity Auxiliary,F.A.X,https://eve-contract-opener.99617224.workers.dev/c/235559436,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0
A 即时买单套利,JITA_BUY_DEPTH_ONLY,A2 Jita近郊高安,1,71.6,235856259,169000000.0,4,4,Raven x1 | Large Capacitor Control Circuit I x1 | Large Capacitor Control Circuit II x1 | Large EM Shield Reinforcer I x1,Raven x1≈156.2M | Large Capacitor Control Circuit II x1≈54.5M | Large Capacitor Control Circuit I x1≈3.9M | Large EM Shield Reinforcer I x1≈0.1M,214706500.0,7246344.374999999,207460155.625,0.0,38460155.625,0.2275748853550296,214408663.2,38172370.817,1.0,4,4,0.7275047564931663,0.9995319191547531,0.0,50060.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,0,1.0,207460155.625,38460155.625,0.185385745562245,0.2275748853550296,0.0,0.0,0.0,Raven inkl. Large Capacitor Control Circuit II*,2026-10-06T20:34:47Z,99013541,Fraternity Auxiliary,F.A.X,https://eve-contract-opener.99617224.workers.dev/c/235856259,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0
