channel,contract_id,contract_price,jita_buy_gross,sales_tax,haul_reserve,net_profit,net_roi,stress_net_profit,stress_complete,item_type_count,item_total_units,items,total_m3,date_expired,contract_title,start_location_id,system_id,eve_contract_url,system_name,security,secure_jumps_to_jita,station_name
DOMAIN_CONTRACT_TO_JITA_BUY,236268046,200000000.0,266015000.0,8978006.249999998,452540000.0,-395503006.25,-0.6060977200631379,-395658572.5,True,4,4,Dominix x1 | Large Capacitor Control Circuit II x1 | Large EM Armor Reinforcer I x1 | Large Auxiliary Nano Pump II x1,50060.0,2026-10-19T12:23:53Z,,60008494,30002187,https://eve-contract-opener.99617224.workers.dev/c/236268046,Amarr,0.949,45,Amarr VIII (Oris) - Emperor Family Academy
DOMAIN_CONTRACT_TO_JITA_BUY,236146272,200000000.0,248276733.4,8379339.752249999,454053800.0,-414156406.35225,-0.6332145862500149,-414298092.8075,True,9,6615,Maelstrom x1 | Hail L x1384 | Large EM Shield Reinforcer II x1 | Republic Fleet EMP L x264 | Large Capacitor Control Circuit II x2 | Optimal Range Script x2 | Republic Fleet Titanium Sabot L x2000 | Tracking Speed Script x1 | Republic Fleet Phased Plasma L x2960,50228.2,2026-10-15T21:18:52Z,,60008494,30002187,https://eve-contract-opener.99617224.workers.dev/c/236146272,Amarr,0.949,45,Amarr VIII (Oris) - Emperor Family Academy
