channel,signature,updated_at
spot-deals,buyonly-v2-exec-2|[],2026-09-20T03:00:30.550953+00:00
bpc-value,"buyonly-v2-exec-2|[{""id"":236111362,""metric"":80507659.5,""roi"":0.6391,""status"":""SAFE"",""grade"":""B-：当前不错，继续观察""},{""id"":236194060,""metric"":64603332.0,""roi"":0.404867,""status"":""SAFE"",""grade"":""B-：当前不错，继续观察""},{""id"":236195152,""metric"":63891925.25,""roi"":0.176581,""status"":""SAFE"",""grade"":""C：抢单型，先确认买盘""},{""id"":235873707,""metric"":55189356.8,""roi"":0.107346,""status"":""SAFE"",""grade"":""B-：当前不错，继续观察""},{""id"":235443419,""metric"":54147997.55,""roi"":0.109832,""status"":""SAFE"",""grade"":""C：抢单型，先确认买盘""},{""id"":235512766,""metric"":52307363.59,""roi"":0.103675,""status"":""SAFE"",""grade"":""B-：当前不错，继续观察""},{""id"":236140040,""metric"":50949091.5,""roi"":0.143374,""status"":""SAFE"",""grade"":""B-：当前不错，继续观察""},{""id"":236195511,""metric"":46843516.5,""roi"":0.129414,""status"":""SAFE"",""grade"":""C：抢单型，先确认买盘""}]",2026-09-20T14:58:04.924301+00:00
