channel,signature,updated_at
spot-deals,"235259895,235320750,235282239,235585264,235500730,235180229,235072942,235528388,234858145,235336731",2026-09-04T02:52:38.876398+00:00
bpc-value,"235659656,235536482,235690835,235199873,235199880,235008411,235199864,235347163,235478679,235407302",2026-09-04T09:46:44.063744+00:00
