policy_version,rank,id,profit,roi,grade,sent_at
opportunity-v3-1,1,26912,42117468.75,0.2469798202662288,B,2026-09-18T14:43:34.820950+00:00
opportunity-v3-1,2,12259,31855778.75,0.1319358487713761,B,2026-09-18T14:43:34.820950+00:00
