policy_version,rank,id,profit,roi,status,grade,sent_at
fourh-v2-incremental-1,1,16272,542968412.2544127,0.5389156120482999,SAFE,A,2026-09-25T15:59:29.829092+00:00
fourh-v2-incremental-1,2,16275,694844032.2874999,0.2024391934966235,SAFE,B,2026-09-25T15:59:29.829092+00:00
fourh-v2-incremental-1,3,24509,22148783.996125,0.2572355365594986,SAFE,B,2026-09-25T15:59:29.829092+00:00
fourh-v2-incremental-1,4,16273,97256455.72908749,0.2465725937993693,SAFE,B,2026-09-25T15:59:29.829092+00:00
fourh-v2-incremental-1,5,28215,25681400.0,0.1817681223838637,SAFE,B,2026-09-25T15:59:29.829092+00:00
