channel,signature,updated_at
spot-deals,buyonly-v2-exec-2|[],2026-09-21T06:36:17.920939+00:00
bpc-value,"buyonly-v2-exec-2|[{""id"":236100581,""metric"":71810501.0,""roi"":0.102173,""status"":""SAFE"",""grade"":""B+：可重点做""},{""id"":236195152,""metric"":69240200.75,""roi"":0.194172,""status"":""SAFE"",""grade"":""C：抢单型，先确认买盘""},{""id"":236245873,""metric"":60472132.3,""roi"":0.174041,""status"":""SAFE"",""grade"":""B+：可重点做""},{""id"":236195511,""metric"":56239413.25,""roi"":0.157651,""status"":""SAFE"",""grade"":""C：抢单型，先确认买盘""},{""id"":236037058,""metric"":52689132.18,""roi"":0.109394,""status"":""SAFE"",""grade"":""A：重点关注""},{""id"":235443419,""metric"":52518519.83,""roi"":0.106052,""status"":""SAFE"",""grade"":""C：抢单型，先确认买盘""},{""id"":235512766,""metric"":51187290.0,""roi"":0.102083,""status"":""SAFE"",""grade"":""B+：可重点做""},{""id"":236230726,""metric"":46119919.0,""roi"":0.106175,""status"":""SAFE"",""grade"":""B+：可重点做""}]",2026-09-21T09:07:27.397338+00:00
