scan_date,product_type_id,net_roi,net_profit
2026-09-02,20060,0.1877636950941144,100782098.0
2026-09-02,33700,0.1393409893168905,85854339.0
2026-09-02,83485,0.0947731397486895,88448393.29999995
2026-09-02,40350,0.0882819745311306,109956007.5
2026-09-02,57471,0.0851412947966004,342068086.0
2026-09-02,57476,0.082809336513609,71561687.0
2026-09-03,20060,0.1693953058731979,92449029.0
2026-09-03,33700,0.1134256537264892,71560602.0
2026-09-03,92514,0.0817564542580597,178835243.79999995
2026-09-04,20060,0.1765097734466839,95908748.0
2026-09-04,40350,0.0929409782627687,115437111.0
2026-09-12,28264,0.4896427311619868,342767062.5
2026-09-12,40734,0.32739186089443,153000645.5
2026-09-12,23416,0.1941232098284794,82152260.86000001
2026-09-12,41498,0.1882071181748245,70190271.5
2026-09-12,83465,0.1854971008939722,73841718.0
2026-09-12,83485,0.1555158104542768,142832326.0
2026-09-12,53892,0.1336032683239124,102001856.0
2026-09-12,23674,0.1288425651166081,123842237.14999998
2026-09-12,92514,0.1211307647833618,236563426.20000005
2026-09-12,57474,0.0968783718113731,338026420.5
2026-09-12,47362,0.0921558649365813,63007896.0
2026-09-12,638,0.0898796368871377,124060348.38000011
2026-09-12,57476,0.0873141979220118,301793403.5
2026-09-12,639,0.0858183598751326,113649848.38000011
2026-09-13,40734,0.3284993097621225,153390217.5
2026-09-13,23416,0.2169935257138357,90501424.73000002
2026-09-13,41498,0.1969595680779789,72917308.5
2026-09-13,83465,0.1834762454590636,73161981.85000002
2026-09-13,83485,0.1516677976937957,139496658.45000005
2026-09-13,53892,0.1475367029776872,111271917.0
2026-09-13,23674,0.1261147395537667,122909678.38
2026-09-13,92514,0.1247222123125762,242831733.0
2026-09-13,41499,0.12463267818149827,49900623.5
2026-09-13,639,0.1001972844745321,137532735.45000005
2026-09-13,47362,0.09938192660972966,67859936.20000005
2026-09-13,57474,0.0982072297222089,342293350.5
2026-09-13,622,0.09787117748442875,100567410.0
2026-09-13,638,0.0918936597238557,126492485.45000003
2026-09-13,12200,0.08607367006741057,52099425.22000003
2026-09-13,57476,0.084363354465092,73141439.0
